SYMBOL,TRADE_DATE,CLOSE,IS_SNAP
AAPL,07-SEP-1984,2.92,False
AAPL,07-NOV-1985,2.16,False
AAPL,11-FEB-1987,6.23,False
AAPL,23-OCT-1987,7.86,False
AAPL,02-JAN-1990,8.41,False
AAPL,03-JAN-1990,1.2,False
AAPL,26-NOV-1990,1.19,False
AAPL,15-JUL-1993,1.18,False
AAPL,15-NOV-1993,1.06,False
AAPL,11-OCT-1994,1.33,False
AAPL,26-AUG-1996,0.82,False
AAPL,01-AUG-1997,0.65,False
AAPL,12-JAN-1998,0.62,False
AAPL,10-AUG-1999,1.84145,False
AAPL,28-SEP-2000,3.55819,False
AAPL,29-SEP-2000,1.71259,False
AAPL,18-JAN-2001,1.24287,False
AAPL,04-DEC-2001,1.48978,False
AAPL,17-JUN-2003,1.20978,False
AAPL,15-OCT-2004,3.02612,False
AAPL,09-JAN-2006,10.11589,False
AAPL,25-SEP-2006,10.07599,False
AAPL,26-SEP-2008,17.05802,False
AAPL,20-MAR-2009,13.51313,False
AAPL,16-MAR-2012,77.89039,False
AAPL,25-APR-2014,79.15205,False
AAPL,15-JUL-2016,98.78,True
